Epoch 60/1000 | Loss: 0.0317 | Precision: 0.1455 | Recall: 0.0445 | F1: 0.0620
Epoch 61/1000 | Loss: 0.0311 | Precision: 0.1829 | Recall: 0.0589 | F1: 0.0813
Epoch 62/1000 | Loss: 0.0305 | Precision: 0.2413 | Recall: 0.0839 | F1: 0.1135
Epoch 63/1000 | Loss: 0.0299 | Precision: 0.3009 | Recall: 0.1142 | F1: 0.1519
Epoch 64/1000 | Loss: 0.0294 | Precision: 0.3428 | Recall: 0.1380 | F1: 0.1802
Epoch 65/1000 | Loss: 0.0289 | Precision: 0.3864 | Recall: 0.1645 | F1: 0.2120
Epoch 66/1000 | Loss: 0.0279 | Precision: 0.4517 | Recall: 0.2077 | F1: 0.2627
Epoch 67/1000 | Loss: 0.0271 | Precision: 0.5068 | Recall: 0.2496 | F1: 0.3103
Epoch 68/1000 | Loss: 0.0267 | Precision: 0.5413 | Recall: 0.2769 | F1: 0.3408
Epoch 69/1000 | Loss: 0.0261 | Precision: 0.5718 | Recall: 0.3031 | F1: 0.3693
Epoch 70/1000 | Loss: 0.0259 | Precision: 0.5879 | Recall: 0.3215 | F1: 0.3882
Epoch 71/1000 | Loss: 0.0255 | Precision: 0.5974 | Recall: 0.3341 | F1: 0.4013
Epoch 72/1000 | Loss: 0.0254 | Precision: 0.6142 | Recall: 0.3495 | F1: 0.4168
Epoch 73/1000 | Loss: 0.0250 | Precision: 0.6322 | Recall: 0.3659 | F1: 0.4351
Epoch 74/1000 | Loss: 0.0248 | Precision: 0.6407 | Recall: 0.3773 | F1: 0.4458
Epoch 75/1000 | Loss: 0.0246 | Precision: 0.6488 | Recall: 0.3914 | F1: 0.4592
Epoch 76/1000 | Loss: 0.0242 | Precision: 0.6551 | Recall: 0.4035 | F1: 0.4703
Epoch 77/1000 | Loss: 0.0241 | Precision: 0.6751 | Recall: 0.4205 | F1: 0.4888
Epoch 78/1000 | Loss: 0.0237 | Precision: 0.6853 | Recall: 0.4302 | F1: 0.4999
Epoch 79/1000 | Loss: 0.0236 | Precision: 0.6925 | Recall: 0.4417 | F1: 0.5097
Epoch 80/1000 | Loss: 0.0235 | Precision: 0.6951 | Recall: 0.4485 | F1: 0.5161
Epoch 81/1000 | Loss: 0.0231 | Precision: 0.7045 | Recall: 0.4584 | F1: 0.5261
Epoch 82/1000 | Loss: 0.0230 | Precision: 0.7096 | Recall: 0.4697 | F1: 0.5364
Epoch 83/1000 | Loss: 0.0230 | Precision: 0.7096 | Recall: 0.4736 | F1: 0.5395
Epoch 84/1000 | Loss: 0.0226 | Precision: 0.7189 | Recall: 0.4831 | F1: 0.5491
Epoch 85/1000 | Loss: 0.0226 | Precision: 0.7220 | Recall: 0.4850 | F1: 0.5509
Epoch 86/1000 | Loss: 0.0225 | Precision: 0.7215 | Recall: 0.4920 | F1: 0.5569
Epoch 87/1000 | Loss: 0.0224 | Precision: 0.7315 | Recall: 0.4995 | F1: 0.5652
Epoch 88/1000 | Loss: 0.0222 | Precision: 0.7359 | Recall: 0.5040 | F1: 0.5696
Epoch 89/1000 | Loss: 0.0221 | Precision: 0.7364 | Recall: 0.5086 | F1: 0.5739
Epoch 90/1000 | Loss: 0.0221 | Precision: 0.7347 | Recall: 0.5102 | F1: 0.5744
Epoch 91/1000 | Loss: 0.0220 | Precision: 0.7399 | Recall: 0.5141 | F1: 0.5789
Epoch 92/1000 | Loss: 0.0219 | Precision: 0.7409 | Recall: 0.5193 | F1: 0.5835
Epoch 93/1000 | Loss: 0.0218 | Precision: 0.7506 | Recall: 0.5253 | F1: 0.5905
Epoch 94/1000 | Loss: 0.0217 | Precision: 0.7481 | Recall: 0.5233 | F1: 0.5884
Epoch 95/1000 | Loss: 0.0216 | Precision: 0.7506 | Recall: 0.5282 | F1: 0.5924
Epoch 96/1000 | Loss: 0.0216 | Precision: 0.7585 | Recall: 0.5340 | F1: 0.5987
Epoch 97/1000 | Loss: 0.0215 | Precision: 0.7567 | Recall: 0.5375 | F1: 0.6014
Epoch 98/1000 | Loss: 0.0214 | Precision: 0.7591 | Recall: 0.5385 | F1: 0.6025
Epoch 99/1000 | Loss: 0.0214 | Precision: 0.7633 | Recall: 0.5432 | F1: 0.6077
Epoch 100/1000 | Loss: 0.0213 | Precision: 0.7635 | Recall: 0.5443 | F1: 0.6082
Epoch 101/1000 | Loss: 0.0213 | Precision: 0.7619 | Recall: 0.5496 | F1: 0.6116
Epoch 102/1000 | Loss: 0.0212 | Precision: 0.7623 | Recall: 0.5520 | F1: 0.6144
Epoch 103/1000 | Loss: 0.0212 | Precision: 0.7645 | Recall: 0.5548 | F1: 0.6164
Epoch 104/1000 | Loss: 0.0212 | Precision: 0.7699 | Recall: 0.5593 | F1: 0.6212
Epoch 105/1000 | Loss: 0.0211 | Precision: 0.7691 | Recall: 0.5604 | F1: 0.6222
Epoch 106/1000 | Loss: 0.0212 | Precision: 0.7626 | Recall: 0.5606 | F1: 0.6202
Epoch 107/1000 | Loss: 0.0209 | Precision: 0.7721 | Recall: 0.5690 | F1: 0.6293
Epoch 108/1000 | Loss: 0.0209 | Precision: 0.7691 | Recall: 0.5670 | F1: 0.6268
Epoch 109/1000 | Loss: 0.0208 | Precision: 0.7759 | Recall: 0.5742 | F1: 0.6343
Epoch 110/1000 | Loss: 0.0207 | Precision: 0.7735 | Recall: 0.5732 | F1: 0.6328
Epoch 111/1000 | Loss: 0.0207 | Precision: 0.7783 | Recall: 0.5776 | F1: 0.6372
Epoch 112/1000 | Loss: 0.0207 | Precision: 0.7804 | Recall: 0.5781 | F1: 0.6390
Epoch 113/1000 | Loss: 0.0207 | Precision: 0.7755 | Recall: 0.5791 | F1: 0.6373
Epoch 114/1000 | Loss: 0.0208 | Precision: 0.7775 | Recall: 0.5769 | F1: 0.6368
Epoch 115/1000 | Loss: 0.0206 | Precision: 0.7786 | Recall: 0.5818 | F1: 0.6408
